job_title,required_skills
automation application engineer,"architecture, css, excel, html, http, microsoft word, ms office, powerpoint"
information assurance engineer,"tad pgs, reliable "
database developer,"adabas, analysis, business requirements, development, jcl, quality assurance, release, scripts, sdlc, sql, sql server, supervision"
data manager,"contract corp, to, corp, contract w2"
business intelligence developer,"access, architect, architecture, development, engineers, it, libraries, performance, software, telecom"
service desk associate,"benefits, pension, medicare, medicaid, customer service, customer support, benefits associate, administration, administrative, associate"
it project manager,"contract independent, 1 year"
big data engineer,"analysis, architecture, css, data architecture, html, http, mongodb, nosql, postgresql, python, sql"
data reporting analyst,"tad pgs, reliable "
network security jobs,"bash, database, development, http, ibm, java, management, perl, php, release"
web developer,"access, application, applications, business requirements, development, it, java, javascript, middleware, oracle, performance, python, software, specification, sql, telecom, web"
service desk manager,"tad pgs, reliable "
business intelligence developer,"contract corp, to, corp, contract w2, c2h corp, to, corp, c2h independent, c2h w2"
it project manager,"agile, analysis, development, management, pmp, release, risk management, sales"
game tester,"business requirements, database, development, javascript, metrics, qa, quality assurance, sql, xml"
big data engineer,"aws, build, release, jenkins, cruise control, teamcity"
imaging specialist,"development, management, risk management"
business intelligence analyst,"security, cisa, cism, cissp, audit"
business intelligence analyst,"analysis, css, development, html, http, management, metrics, risk management"
software engineer,".net, ada, adobe, ajax, architecture, asp, asp.net, business intelligence, cms, content management, css, development, dhtml, html, java, javascript, jquery, management, mysql, mysql, oracle, php, sql, sql server"
data architect,"aix, architecture, business requirements, css, development, html, http, informatica, oracle, plsql, pl, sql, sql, sql server, supervision, unix"
database analyst,background 
data migration lead,".net, agile, architecture, asp, asp.net, benchmark, case, c#, css, defect management, development, erp, excel, foundation, html, http, lifecycle, management, metrics, powerpoint, project management, qa, sales, scripts, scrum, sdlc, validation, vb"
java developer,"contract w2, 12, 24 months"
sql developer,"analysis, business objects, business requirements, development, microstrategy, qa, release, sdlc, security, sql, supervision, validation"
network engineer,"full time, direct full time"
