job_title,required_skills
java developer,"apache, business requirements, css, development, hadoop, html, http, java, javascript, jquery, linux, management, os x, scrum, security, solr, supervision, windows, windows 7"
program scheduler v,"tad pgs, reliable "
sales support analyst,"tad pgs, reliable "
ux designer,"css, development, html, http, javascript, management, ux"
java application architect,"h, java architect"
business analyst,business analyst healthcare
oracle ebusiness programmer,full time
network administrator,"cisco ucs, vmware, citrix, windows"
rf network engineer,"tad pgs, reliable "
data analyst,"property , casualty insurance experience , data analytics"
cloud orchestration and automation,"architecture, css, excel, html, http, microsoft word, ms office, powerpoint"
mechanical engineer,"tad pgs, reliable "
adabas developer,"adabas, analysis, business requirements, development, jcl, project, quality assurance, release, scripts, sdlc, sql, sql server, supervision"
facility project manager,"contract corp, to, corp, contract w2, 3"
frontend developer,"access, architect, architecture, developer, development, engineers, it, libraries, performance, research, software, telecom"
benefits associate i,"benefits, pension, medicare, medicaid, customer service, customer support, benefits assistant, benefits associate, administration, administrative, associate"
project manager,"contract independent, 1 year"
db engineer,"analysis, architecture, css, data architecture, data modeling, html, http, mongodb, nosql, postgresql, python, sql"
human resources recruiting generalist,"tad pgs, reliable "
corporate counsel,"outbound procurement, sales , revenue generation agreements, outsourcing agreements"
network monitoring tools specialist,"bash, database, development, http, ibm, java, management, perl, php, release"
web developer,"access, application, applications, business requirements, developer, development, it, java, javascript, middleware, oracle, performance, python, software, specification, sql, telecom, web"
production shipper,"tad pgs, reliable "
peoplesoft elm developer:,peoplesoft elm developer:
customer service representative,"tad pgs, reliable "
hedge fund developer,"contract corp, to, corp, contract w2, c2h corp, to, corp, c2h independent, c2h w2"
project manager i,"agile, analysis, development, management, pmp, project manager, release, risk management, sales"
quality assurance tester,"business requirements, database, development, javascript, metrics, project, qa, quality assurance, sql, testing, xml"
configuration build engineer,"aws, build, release, jenkins, cruise control, teamcity"
application programmer v specialist,"development, management, risk management"
network engineer,"tad pgs, reliable "
it security analyst,"security, cisa, cism, cissp, audit"
quantative analyst,"analysis, css, development, html, http, management, metrics, research, risk management"
software engineer ,".net, ada, adobe, ajax, architecture, asp, asp.net, business intelligence, cms, content management, css, development, dhtml, html, java, javascript, jquery, management, mysql, mysql, oracle, php, software engineer, sql, sql server"
data architect,"aix, architecture, business requirements, css, development, html, http, informatica, oracle, plsql, pl, sql, project, sql, sql server, supervision, unix"
systems engineer,"tad pgs, reliable "
mysql database architect,background 
test lead,".net, agile, architecture, asp, asp.net, benchmark, case, c#, css, defect management, development, erp, excel, foundation, html, http, lifecycle, management, metrics, powerpoint, project management, qa, research, sales, scripts, scrum, sdlc, validation, vb"
software engineer,"tad pgs, reliable "
java developer,"contract w2, 12, 24 months"
microstrategy developer,"analysis, business objects, business requirements, development, microstrategy, qa, release, sdlc, security, sql, supervision, validation"
business analyst,business analyst healthcare
network engineer,"full time, direct full time"
directory services engineer,"analysis, business requirements, change management, css, development, dns, html, http, lifecycle, management, powershell, security, windows"
mainframe test analyst,".net, architecture, content management, database, development, erp, management, peoplesoft, protocol, quality assurance, sap, scripts, sdlc, sql, sql server, testing, test plan, transact, sql"
biztalk developer,"access, crm, database, engineer, it, libraries, sdlc, sql, telecom"
javascript web programmer analyst,"access, adobe, api, applications, browsers, consulting, database, development, flash, html, it, javascript, linux, management, mysql, mysql, php, programming, python, scripts, sql, sql server, telecom, web, windows"
jda developer,".net, access, analysis, application, applications, architecture, automated, business requirements, consulting, data analysis, database, development, erp, foundation, it, java, management, multi, threaded, oracle, peoplesoft, pl, sql, project, project management, scripts, security, sql, supply chain, supply chain management, systems, telecom, web, windows"
systems analyst,"healthcare claims, erisa, cobra, hipaa. sql, sdlc"
electrical project engineer,"tad pgs, reliable "
software staff ui engineer,"javascript, angular js, typescript, sencha extjs 6, react, backbone, framework, user interface, sass, less, css 3, html 5, client web technology, rest, odata, json"
middleware developer,"access, application, architecture, b2b, bmc, consulting, ibm, it, linux, middleware, solaris, systems, telecom, tibco, unix, websphere"
tech lead,".net, access, aml, application, business requirements, c#, developer, development, iis, it, management, software, sql, sql server, telecom, vb, windows"
it buyer,c2h w2
oracle functional consultant,"access, analysis, analytical, applications, business requirements, consultant, data analysis, excel, it, management, microsoft access, oracle, pl, sql, sql, system, systems, telecom"
business intelligence developer,"business intelligence, erp, foundation, informatica, oracle, security"
business analyst,"analysis, business analyst, business requirements, css, customer service, data analysis, data warehouse, development, excel, hadoop, html, http, lifecycle, management, microsoft excel, pl, sql, postgresql, project management, sql"
java developer,"angularjs, nodejs"
infrastructure project manager,"contract w2, 12 months"
audit specialist,"tad pgs, reliable "
business systems analyst ii,"tad pgs, reliable "
data scientist,"tad pgs, reliable "
relationship manager ,"relationship manager , mortgage planning expertise"
human resources generalist,"outlook, excel, customer service"
data scientist,"algorithms, analysis, apache, case, css, data analysis, development, hadoop, html, http, java, management, matlab, nosql, project, python, sql, use case"
building technician iii,"tad pgs, reliable "
