job_title,required_skills
data warehouse developer,"sql, etl, data analysis, dimensional models"
ios developer,core animation
 java developer,"development, java"
devops engineer,"platforms, agile development practices, sql server, sql azure, nosql c#"
software development engineer,c#
php developer,"php, sql, html5, css3, javascript , php, sql, html5, css3, javascript"
scala developer,"java, scala, javascript"
devops engineer,"linux, weblogic, oracel, agile, devops"
software engineer,"c, c++, c#, visual studio"
advanced market research analyst,"market research, stakeholders"
full stack developer,"applications, development, engineers, iterative, java, javascript, next, python, quality, software, web"
sap is,"sap, is, u, ccs"
net developer,"intensive distributed systems, big data"
gameplay engineer,"c, c++, mobile, gameplay systems, user interface, ios, android"
bi solutions architect,"bi solutions architect, sql, gather requirements, engineering, power bi, data management, visualizations, business intelligence, cosmos, gmobi"
oracle dba,"oracle 11g, 12c rac, asm, performance tuning"
jeeves erp consultant,jeeves
backend engineer,"python, nosql, aws, git , python, nosql, aws, git"
mechanical engineer,"battery , mechanical design experience"
salesforce developer,administrator position
continuous improvement manager,"continuous improvement, manufacturing, food, beverage, kaizen, team facilitation, operations management, oee, pmi, mes, operational excellence, deployment"
software developer,"software , web development"
is systems technician,"network security, monitoring solutions, cisco, linux, salesforce"
java developer,"java, restful web services, azure"
software engineer,"java, angularjs, javascript, jquery, css, html, mysql"
software development manager,"development, ios, lifecycle, management, project, project management, sdlc, source code, version control"
software dev engineer,"algorithm, analysis, c++, development, java, management, project, release, ruby, security"
lead sdet,"sdet, git, agile, selenium, java, c#, qa, automation, mobile development"
cisco voice engineer,"ccie, unified communications, cisco, cisco uc, unity, ccvp , ccie, unified communications, cisco, cisco uc, unity, ccvp"
microsoft dynamics crm developer,"dynamics crm, c#, .net, mvc, web api, jquery, javascript, sql, ssrs"
product owner,agile
network architect,"ccnp, ccvp, ccdp, ccde, ccie, osi, sdn, cloud architecture, cisco, cisco nx, os, cisco ios, sip, network design, network management, mpls, voip, eigrp, bgp, ospf, tcp, ip, qos"
software development engineer,"algorithms, architecture, development, e, commerce, java, linux, perl, sql, unix"
engineering manager,"c#, development, http, java, testing"
software development engineer,"sde , c, c++ , sorting , searching algorithms , restful web services"
saas solutions architect,"saas architecture, ci, cd, configuration management, infrastructure , "
front end developer,"javascript, html, css"
ptp ariba consultant,"design business process, underst, p2p business processes"
hadoop developer,"hadoop, cask, mulesoft, cloudera, java, python, hdfs, spark, pig, hive"
facilities operations manager,"operations management, facilities management, vendor management, project management, budget management, procurement"
o365 sharepoint migration engineer,"sharepoint, office 365, sharepoint migration"
cyber security implementation manager,"ccie routing , switch, ccie security, cisco, palo alto, cissp, ptiv, accudata, lumenate, netsync, wwt, persidio, nextgen firewalls, ips , traps"
full stack sde,"c# , javascript , server"
windows mobile developer,"windows 10, windows surface, windows mobile, sqlite, c#, .net, universal apps, application development, mobile, mobile development"
information security architect,"analysis, architecture, ccnp, cissp, development, encryption, hardware, iso, lan, management, project management, routers, security, sox, vpn, wan"
sfdc developer,"sfdc, soap, sales cloud, rest api"
desktop support engineer,"desktop images, windows server, mdt, sccm, landesk, vbscript"
java developers,"agile, angularjs, c#, database, development, edi, http, java, microstrategy, mobile development, mongodb, qa, security, supply chain"
collaboration analyst,"voice, data, cisco"
j2ee applications developer,"hadoop, pig, sqoop, elasticsearch, big data"
p manager,"analysis, citrix, development, erp, excel, management, re, supervisor"
technical data analyst,"data migration, sql, etl, alm, sdlc"
enterprise architect,"asp .net, angularjs, mvc, web api"
sap gts,"ariba, crm, development, excel, html, http, lifecycle, management, research, sap, supply chain"
sap mm analyst,"sap, procurement, business analysis"
application support analyst,".net, agile, development, management, project management, scrum, sql, telecom, vb, windows"
network engineer,contract w2
full stack developer,"ba, desktop"
sap ariba  consultant,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
oracle developer,"oracle forms, sql, pl, sql"
epic analyst orders,"consulting, customer service, database, development, epic, lifecycle, management, materials, scripts"
image developer,"sccm 2012, 2007, image deployment, windows 7, 10"
software developer,".net, adobe, ajax, asp, asp.net, development, dreamweaver, ecommerce, git, iis, javascript, jquery, linux, management, mysql, mysql, php, project management, sales, security, svn, windows"
manufacturing engineer,"c2h w2, full time"
software test engineer,"java, restful apis"
sap ariba,"ariba, crm, development, excel, html, http, lifecycle, project, recruiter, sap, supply chain"
technical service rep,"full time, regular"
network security engineer,"network security, firewalls, linux administration, professional services, vulnerability assessments, network architecture , sql , mysql queries , network security, firewalls, linux administration, professional services, vulnerability assessments, network architecture , sql , mysql queries"
hyperion developer,"hyperion essbase , hyperion fdm , drm"
design technician vi,"automated, graphics, hardware, management, technician"
network engineer,"routing protocols ospf, bgp, eigrp, isis, mpbgp designing , deploying high, performance, low, wan multiple switch , router vendors l2vpn , l3"
software development lead,full time
software architect,"c#, asp.net, javascript, html, css, sql"
end user architect,"togaf, xenapp, sccm, vbscript, citrix, altiris, flexerra, o365, jive...."
oracle webcenter imaging,ipm & portal
sas visual analytics,sas visual analytics
business intelligence technical analyst,"ssis, ssrs"
application security analyst,"analysis, architecture, business requirements, development, management, plc, project manager, security"
sharepoint business analyst,"sharepoint, content migration, filenet"
cyber security architect,"architecture, cissp, development, linux, management, oracle, research, security, sql, unix, windows"
web application developer,"javascript, restful, reactjs, nodejs, html5"
net developer,".net 4.5, silverlight, wcf, sql, ssrs, ssis, c#, .net webforms, mvc 4"
peoplesoft payroll functional,peoplesoft payroll functional
system administrator,"dns, hardware, help desk, lan, management, ms office, pc, supervision, tcp, ip, windows"
director business intelligence,"business objects, tableau, sas"
arcgis analyst,"arcgis, javascript, html5, react, redux, expressjs"
junior software engineer,"java, html5, javascript, css"
tableau administrator,"analytics, tableau architect, ms, sql server"
customer support representative i,phone
java developer,"core java , j2ee technologies, spring jms, spring security, spring data, spring rcp, spring jide integration, spring integration, jms"
it security analyst,"operating system windows , linux security, computer networking"
validation technician,"agile, biometrics, excel, http, management, project manager, protocols, technician, validation"
infrastructure analyst,"mcse, msitp, server support, windows 2012 servers, windows 2003, windows 2008 , windows 2012, vmware"
sap qm,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
hardware test engineer,"contract w2, 18 months"
petrel api developer w,".net, wpf, mvvm, petrel api"
ios ux designer,"ux, ui, ios"
security systems engineer,"full time, full, time"
product development engineering manager,"assembly, automotive, development, mechanical, validation"
data analyst,full time
endur developer,".net, analysis, architecture, asp, asp.net, database, development, disaster recovery, dos, java, management, quality assurance, scheduling, sql, xml"
clinical informatics supervisor,c2h w2
sccm engineer,"sccm, wyse, mobileiron, kixtart, vbs, powershell, task sequence"
web designer iii,"api, css, html, javascript, ux"
account executive,"customer service, development, management, materials, video"
hcc coding auditor,"aapc, ahima, ccs, hcc"
systems engineer asc,"configuration management, database, linux, management, networks, unix"
sap lshc  manager,"consulting, crm, development, excel, html, http, lifecycle, management, project management, recruiter, sap, supply chain"
product development engineering manager,"assembly, automotive, development, mechanical, validation"
systems engineer,2012 active directory
tier iii helpdesk technician,"vpn, network, helpdesk, tier iii"
sql developer,"sql, ssrs"
quality assurance analyst,".net, agile, analytical"
project manager,"analysis, architecture, development, management, metrics, project manager, risk management"
oracle data warehouse analyst,"dw analysis, stored procedures, oracle packages, star schemas, odw"
organizational change management manager,"change management, development, excel, html, http, management, powerpoint, recruiter"
ui designer,#name?
active directory engineer,"active directory, group policies, citrix"
information security operations manager,"soc management procedures, maintain , siem, antimalware, 2fa, firewalls, ids, ips"
data engineer,"network, ccnp, ccie, routing , routing protocols eigrp, bgp, switching , 802.1q, lacp , ether channel, hsrp , f5, cisco based lan, wan, ipt"
network engineer,"cisco, wan, lan , fortinet"
net developer,asp
engineering service,"engineering service, cad software, especially catia v5, faa, easa, jaa, caa , aircraft industry."
sql server dba,sql server dba
jr systems administrator,"exchange, outlook, powershell, supervision, testing"
account manager,"salesforce.com, customer communications, customer care , customer service, webex, sales, account management, cross, functional team, analytical"
osisoft analyst,"osisoft, pi"
  cisco uc consulting engineer,"cisco uc, cisco r, s, ccie, post sales, ccnp collaboration , cisco uc, cisco r, s, ccie, post sales, ccnp collaboration"
cyber security,"analysis, architecture, database, data warehouse, management, security, unix, windows"
sales force effectiveness  manager,"analysis, business analyst, case, development, excel, html, http, management, oracle, powerpoint, research, sales"
ocm healthcare provider  manager,"change management, development, excel, html, http, management, powerpoint, project management, research"
java developer,"java se, java ee, ejb, jsf"
peoplesoft eperformance functional lead,"functional peoplesoft recruiting , eperformance lead"
 interaction designer in houston,"html, css, javascript"
business analyst,tableau
transportation security inspector,"analysis, civil, database, development, help desk, http, management, materials, release, scientific, security, supervision"
network engineer,"cisco, lan, management, network engineer, protocols, security, wan"
sap presales consultant,"sap product suite , sap logistics knowledge, sales, opportunity management, service management, multichannel communications, e, commerce, customer insight , analytics solutions"
sap lease accounting,"sap, fi, la"
skype for business technician,"case, change management, customer service, hardware, management, technician, windows"
sap wm,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
genesys developer,"genesys, outbound, gvp"
citrix engineer,".net, citrix, dna"
enterprise architect,vnx
onbase consultant,"ms visio mandatory, sparx , aris , provision"
altiris administration@houston,altiris
website developer,"wordpress  , developer  , php  , commerce"
digital media marketing director,full time
android developer,"android, architecture, development, mobile application development"
network engineer,"mpls , voip , ccie or ccnp , lan , wan"
data analyst,"analysis, customer service, data analysis, database, development, eis, epic, excel, exchange, management, outlook, powerpoint, project management, security, statistical analysis, supervision, validation, windows"
chief data scientist,"r, python, spss, sas, etl bi"
mainframe analyst,"cobol, pl1, focus, ims"
product electrical engineer,"automotive, development, manager, product engineering, validation"
net agile developer,"c#, linq, asp.net, mvc, agile , scrum"
sap apo,"ariba, crm, development, excel, html, http, lifecycle, management, project management, recruiter, sap, supply chain"
sap technical,"architecture, case, crm, development, excel, html, http, lifecycle, management, project management, research, sap, supply chain"
outside plant  engineer,"windstream, osp, engineer, telecommunications, osp design, ftth, construction, asbuilts, gcomms microstation, bentley, jobtrac, jt"
search engineer,"search, watson, deploy"
sccm admin,"analysis, anti, virus, architecture, configuration management, hardware, iis, management, project, sql, video, windows, wsus"
software engineer,"html, css, javascript, c, c++, c#, .net, asp.net, asp.net mvc, linq, html, css, mvvm , html, css, javascript, c, c++, c#, .net, asp.net, asp.net mvc, linq, html, css, mvvm"
big data,"kafka, cassandra, algorithm, statistics, data"
etrm analyst,etrm rightangle
sap apo,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
embedded software engineer,"c, c++, canbus, i2c, rc, 232, rc, 485, unix, linux, pid controllers, arm processors, failsafe, micro, controllers, doors, jama"
abap consuultant,"sap abap, lsmw, idoc"
sql server dba,stored procedures sql
build and release engineer,"tfs, powershell, build scripts, automated builds"
sap hcm analyst,"sap, om, pa, hcm"
real estate gis technologist,mis or gis
network engineer,"cisco, nexus, lan, wan, man, switches, voip"
ux designer,"management, supervision, user interface, ux, web design"
scrum development ba,"project management, business analysis, agile, scrum, documentation, application development"
sap wm,"ariba, crm, development, excel, html, http, lifecycle, management, research, sap, supply chain"
help desk,"android, customer service, dns, exchange, hardware, help desk, ios, laptop, management, ms office, pc, peripheral, project management, routers, security, switches, tcp, ip, windows, windows xp, wireless"
technical consultant,"active directory , exchange , windows server , cisco , virtualisation"
front end engineer,css
full stack engineer,"c#, asp.net, python, aws, google cloud, azure"
sap supply chain,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
sap ariba manager,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
salesforce technical lead,salesforce technical lead
ax functional consultant,"microsoft dynamics ax , general ledger , fixed asset , accounting , mis"
business intelligence analyst,"ssas, business objects"
it operations lead,contract w2
safesforce implementer,"1+ salesforce certifications, consultant"
sap hybris billing,"consulting, crm, development, excel, html, http, lifecycle, project, recruiter, sap, supply chain"
windows systems engineer,"customer service, diagnostic, dns, exchange, management, mcse, powershell, vmware, windows"
c# software engineer,"c#, sql, javascript, jquery, python, git , c#, sql, javascript, jquery, python, git"
java spring boot,java spring boot
aws migration engineer,"aws, migration"
it app developer,"analysis, design, construction, , implementation of business "
systems administrator,full time
sap data integration architect,sap data integration
data analyst,"database, admin"
tpf developer,tpf develoepr
bpm developer,"java, javascript"
network support specialist,"lan , wan, windows, linux, ha vm"
net developer,".net, c#, dba, development, sql"
oracle enterprise architect,"analysis, architecture, management, oracle, supply chain"
big data developer,c2h w2
sap ibp functional developer,"sap, ibp, hana, apo, development, sd, ecc"
architecture technology director,"agile, api, architecture, development, management"
remote resware systems administrator,"full time, full time"
hr transformation  manager,"excel, oracle, peoplesoft, powerpoint, sap, sales"
sap pp,"ariba, crm, development, excel, html, http, lifecycle, management, research, sap, supply chain"
sap ui5 developer,sap ui5
web application developer,".net, ajax, automated, c#, development, html, javascript, jquery, lifecycle, software engineer, sql, sql server, supervision, web design, xml"
robotics and spacecraft software,"oo s, w design, robotics, spacecraft"
right angle developer,"right angle, .net, raf, uml, uml diagrams, ooa, d, developer, right angle framework"
sap fico analyst,"sap fico, abap"
business analyst,"business analysis, software, analytical, uml, visio, prototyping tools, wireframe, sql, stored procedures, triggers, ssrs, erd, gathering requirements, specifications"
jd edwards cnc administrator,"jde, jd edwards, cnc"
performance engineer,"jvm tuning, heap dump, thread dump"
security analyst ceh,"ceh, gcih, gpen, sox controls, c, c++, c#, java, php, perl, .net, python, ruby, powershell, sql, oracle, hp unix, redhat linux, tenable nessus, nmap, metasploit, security"
business intelligence analyst,"sql, oil & gas"
learning solutions manager,"change management, development, excel, html, http, management, recruiter"
hyperion developer,"hyperion, essbase, fdm, drm"
project engineer,"management, project engineer"
enterprise architect,"mining technology, togaf certification, minerals & resources, automation technologies , osisoft pi"
sap pm   consultant,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
project architect,"analysis, architecture, development, manager, management, project"
tableau developer,"ssrs, tfs, tableau, sql, server 2016 databases"
it compliance analyst,"analyst, iso, management, risk management, security, sox"
middleware engineer,"middleware, adobe, aem"
distribution business analyst,"business analyst, change management, development, edi, jdedwards, lifecycle, management, sales"
java application developer,"java, multi, linux"
it data architect,"data architecture, etl, informatica"
network architect,"apache, architecture, bash, citrix, configuration management, dba, development, disaster recovery, dns, jenkins, linux, management, metrics, mysql, mysql, perl, php, protocols, security, smtp, unix, vmware, windows"
server engineer,"citrix, active directory, storage, vmware"
systems administrator,full time
cisco voice engineer,"ccie, unified communications, cisco, cisco uc, unity, ccvp , ccie, unified communications, cisco, cisco uc, unity, ccvp"
junior sharepoint developer,it security
fiber optics linemen,
sap successfactors,"development, excel, html, http, powerpoint, recruiter, sap, sales"
software developer,".net, c#, wcf, sql, visual studio"
client solutions executive,"sales, services, cam, ctm, enterprise, technology sales"
soa testing,"selenium, lisa, soap ui"
sap pp,"ariba, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
technical support engineer,"customer support, microsoft server, sql"
business intelligence analyst,"oil , gas, dynamic sql, etc."
system admin datacenter,"development, hardware, library, linux, management, protocols, security, system admin, vm, vmware, windows"
interactive marketing manager,"b2b, salesforce"
service now specialist,"cms, database, development, java, management, pl1, project management, user interface"
security analyst,".net, development, management, security"
network security engineer,"palo alto, cisco, firewalls"
quality assurance engineer,"agile, automated, development, hudson, java, jenkins, lifecycle, management, qa, quality assurance, scripts, scrum, sql"
sccm administrator,"sccm 2012, distribution point remediation, usmt, asset intelligence, active directory, gpo, app, v, reports, deployment"
network engineer,"adsl, cca, ccnp, cissp, cisco, citrix, development, disaster recovery, dns, encryption, ethernet, exchange, hardware, lan, management, mcse, project, routers, security, smtp, switches, tcp, ip, telecom, vpn, wan, windows"
desktop support,analytical
network administrator,"business requirements, circuit, cisco, help desk, management, routers, supervision, switches, vpn, wireless"
desktop support,"desktop support, technician, windows, windows xp, windows 7, windows 8"
ami architect position,"mdus, sap cr&b"
project manager,"electro, mechanical equipment, midstream service work, npd. pmp and, or pe certification"
full stack engineer,"node, .net, c#, node, react, sass, css"
software architect,".net mvc, spa, c#, sql"
sap fico,"costing, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
python developer,"django, postgresql, python data structures , data flows"
data center technician,"cisco, development, excel, hardware, oracle, powerpoint, sun, technician, unix, windows"
tm1 architect,tm1
sap technical architect,"crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
qa analyst,"quality assurance, test plans"
web application developer,"c#, .net framework, visual studio, sql"
engineering project manager,"engineering project management, vave , value add , medical device manufacturing, new product development, change control , change management, mechanically engineered products, leadership , engineering project management, vave , value add , medical device manufacturing, new product development, change control , change management, mechanically engineered products, leadership"
ibm odm lead architect,"odm, jrules, ilog, ibm odm rules"
core jave developer,core java
building designer,"architecture, autocad, materials"
electrical engineer,"analysis, architecture, autocad, development, ieee, mechanical, project, scheduling, security"
desktop engineer,"windows 10, laptop, tablets, deploy, image"
business intelligence business analyst ,"business intelligence, business objects, etl, data services, data architecture, data modelingwebi, epic clarity, healthcare"
data analyst,"sql, tfs"
oracle dba,"oracle dba, golden gate"
embedded engineer,jtag
ms adx studio developer,"adx studio, ms dynamics, crm"
java developer,"core java, weblogic, j2ee, oracle, sql"
sap fico,"costing, crm, development, excel, html, http, lifecycle, management, project manager, research, sap, supply chain"
java front end developer,"html5, css3, javascript, jquery, ajax, omniture"
citrix admin,"citrix , xendesktop, xenapp, xenserver, vmware, microsoft active directory, tcp, ip protocol"
java full stack developer,"agile, ajax, angularjs, application servers, architecture, c#, database, development, foundation, hadoop, j2ee, java, java j2ee, javascript, management, matlab, nosql, oracle, project management, scrum, sql, sql server, xml, xslt"
emerging technology consultant,"tableau, sap hana, etl"
hris analyst 1,"tad pgs, reliable "
sfdc lead,sfdc lead
systems analyst,"analysis, business requirements, change management, management, materials, mathematical, ms office, risk management, sdlc, security, sox, sql, supervision"
enterprise information architect,"full time, full time"
java python data analyst,"algorithms, analysis, analytical"
systems administrator sccm,"automated, development, hardware, library, management, protocols, security, vmware"
pc technician,"cisco, graphics, hardware, pc, supervision, technician"
sitecore architect,sitecore
tableau developer,"business intelligence, data warehouse, development, excel, lifecycle, metrics, ms office, networks, outlook, sql, sql server"
hr transformation manager,"excel, oracle, peoplesoft, powerpoint, sap"
ca tools administrator,"access, advantage, application, applications, computer associates, database, hub, it, libraries, management, network, performance, specification, sql, sql server, systems, telecom, unix, web, windows"
engineer analyst,"analysis, data analysis, database, excel, ms office, research"
project controls manager,"manager, management, metrics, project management"
net & angular developer,"angular js, .net, web api, sql"
experienced java,swt
system test engineer,"software test, quality assurance, microsoft team server , ms sql"
sap fico,"costing, crm, development, excel, html, http, lifecycle, management, recruiter, sap, supply chain"
network security specialist,"analysis, architecture, business requirements, development, management, plc, project manager, security"
graduate hire,graduate hire
network security administrator,"wan, lan, 7 locations, cat, cisco, nexus, bgp, ospf, qualys, network scanning vulnerabilities, security policies, etc."
digital product architect,"agile, sdlc"
hadoop developer,"big data, hadoop, mapreduce, map, r, hdfs, pig, hive, spark, sqoop, flume"
project manager,"analysis, analytical"
software engineer ii,".net, agile, analysis, asp, asp.net, c#, change management, development, java, lifecycle, lifecycle development, management, project management, scrum, sql, sql server, telecom, vb, windows, xml"
financial analyst,"finance, business administration"
linux engineer,"aix, analytical"
mstr administrator,"mstr, admin, sql, linux"
technical oracle grc consultant,"aacg & ccg , sod"
bi report writer,"sql server, asp.net, c#, excel power pivot"
oracle atg web commerce,atg web commerce
software developer,write code
web applications developer ii,"asp, c#, css, development, html, javascript, management, ood, soap, sql, sql server, wsdl"
zscaler security engineer,security
firewall administrator,"network security analyst , firewall , palo alto , checkpoint , ips, change management, ticketing systems"
network engineer,"cisco, development, disaster recovery, firewall, hardware, lan, management, routers, supervision, switches, telecommunications, vmware, vpn, wan, windows, wireless"
qa automation developer,"selenium, calabash, c#, java, automation, mobile, appium, continuous integration, jenkins, development"
net developer,".net, agile, analysis, analytical"
apptio analyst,apptio
etl lead,"etl lead, architect"
 frontend  developer,"javascript, ajax , css"
jr to mid business,sql
web developer programmer,"php, mysql, html, html5, css, javascript, jquery, wordpress, pervasive, laravel"
software engineer,"jvm heap, jvm stack, jvm class loading, etc. http protocol , hence rest, soap, servlets, json, xml"
windows system administrator,"exchange, active directory, office 365, sharepoint"
entry level c#,"c#, .net  nationwide positions , wa , java, java ui, nation wide, ms crm developers, wa"
sql server database administrator,"analysis, bind, bmc, change management, database, database administration, development, disaster recovery, genetics, html, ibm, library, management, powershell, sales, scripts, security, sql, sql server, windows"
sitecore developers x 3,"sitecore, c#, .net, responsive web design, content management system"
oracle dba,"oracle, dba, pl, sql, dbms, linux, windows"
mobile tester,"myfios, appium, perfecto"
java developer,"java, j2ee, ui"
etl lead,"etl lead, architect"
sharepoint developer ,"sharepoint developer , front end , xml, json , javascript, rest, visual studio, vm, css, html, javascript, jquery, esris arcgis product"
talend bigdata developer,"bi, bigdata, talend, java"
automation tester,"api, automation, java, testng, junit, jenkins"
 user experience designer,"ux, user intrerface, user experience, product design, web, based projects, design, visual design, sketch, adobe, cs, axure, html, css"
marklogic developer,"marklogic, mark logic, marklogic applications, qa, quality assurance, uat"
sharepoint 2013 developer,"architecture, content management, development, lifecycle, lifecycle development, management, pl1, programming, project management, sql, sql server, video"
c++  developer,"analysis, api, c++, database, defect management, development, embedded, gui, management, pl1, project, supervisor, tcp, ip, win32"
it trainer,"knowledgeable in: salesforce, peoplesoft, google applications, microsoft office suite, outlook"
customer service representative,analytical
project manager,"pmp, pmi, mortgage, los"
andriod developer,"java, ios, c"
java cloud engineer,"java, cloud, microservices, netflix"
mysql developers fullstack,"java, python, nosql, mongodb, hadoop, javascript, distributed systems, scalable platforms"
desktop engineer,"adobe, customer service, development, exchange, lotus, lotus notes, management, ms office, outlook, pl1, routers, siebel, supervision, vpn, wireless"
success factors solution architect,"analysis, architecture, development, management, oracle, project management, sap, sales, security"
sas programmer,base sas
kronos programmer analyst,"workbrain, peoplesoft time , development, support"
salesforce developer,salesforce
javascript developer,javascript
telecom infrastructure project manager,"pm, avaya, cisco, bs degree, infrastructure, global implementation"
test lead,"sku , testing functional , test lead"
it application developer,strong sql
project administrator,"project management, workflows"
oracle agile plm architect,"agile plm pc, ec , pg&c modules"
dot net developer,"vb.net, sql server 2005, 2008"
iseries as,"iseries, as400"
big data,"big data , hadoop platform, sas and, or r, sql database"
infrastructure architect,"architecture, business requirements, consulting, development, disaster recovery, environmental, exchange, http, lotus, lotus notes, management, mcse, project, project management, security, windows"
nextgen lead pega developer,"pega, clsa, cssa, harnesses, hthl, sla, xml, ccs, javascript, rdbms, db2, oracle, sybase, ms sql, j2ee, ejb, jsp, jdbs, hibernate, jmx, jms, log4j, ajax"
director tech operations,"ci , dev ops"
cisco telepresence engineer,"3, cts, mx, ds"
rpg 400 consultant,"rpg 400 , cl, ile, sql, embedded, retail, distribution, e, commerce, sdlc, jda, websphere, xml, ibm integration, application development."
ivr technical analyst,"ivr, avaya, agile, jboss, ivr cti"
oracle functional analyst ii,"implementing , multinational, multi gaap environment."
client partner,"development, management, project manager"
c++ developer,"c++, linux, version control, db"
enterprise architect,"enterprise architect, sparx , uml, doors , core"
system engineer,"microsoft, dell, emc"
net solution architect,".net, sql server, soap, rest"
validation test manager,"development, documentum, fda, management, pl1, protocols, risk management, sdlc, supervision, validation"
fullstack python developer,"python , django, celery, javascript , anguarjs, rdbms sql"
ux designer,"adobe design tools, sketch, invision , axure, standards for desktop, tablets, smart phones , web, based applications"
oracle soa 12c expert,"analysis, architecture, b2b, database, development, edi, management, middleware, oracle, pl1, sdlc, security, soap, subversion, svn, wsdl, xml, xslt"
project manager,"project management, pmp, c4isr, c5isr, strong oral communication"
full stack developer,4
business analyst,"sql, etl , data warehouse"
window systems administrator,windows server
infrastructure engineer,"infrastructure, storage, server"
ms exchange engineer,ms exchange
java developer,"java, j2ee, jsp, jsf, struts, junit, jpa, orm, sql, jpql, dhtml, ajax, html, servlets, xml, xsl, oo design, css, hibernate, linux, gof, gangs of four, web services, jdbc"
program manager,"program, project management, proven track, record, technical background, pmp certified"
director of it recruiting,bdm
network engineer,"mx240, 480. qfx 5100, 5200, 10002, 10008, l3, 40, 100g. jncia, jncis, jncip, jncie, ccnp, ccie"
nodejs developer,javascript
virtual systems engineer,"architecture, cisco, development, firewall, networks, sales, security, supervision"
filenet developer,"ibm, filenet p8, content platform engine, cpe, ibm websphere, unix, perl, shell, oracle rdbms , sql"
talend developer,"talend, big data, map reduce, python , spark"
vbnet developer,"vb.net, dot net, .net"
webmethods architect,analytical
principal security consultant,"secure code review, github, thought leader, principal consultant, application security"
atg commerce ,java
cloud engineer,"virtualization, system administration, security, share permissions, group policy, powershell, citrix xenapp, cisco ccna, vmware, mcit"
big data architect,"hadoop, scala, hive, pig, java, python, linux, unix, cloud, aws, chef, puppet"
lead app  developer,"visual basic .net, php, c#, c++ , 2, reactjs, durandal, backbone, knockoutjs"
web designer,"html , axure , indesign, photoshop, basecamp"
content business analyst,"analysis, business analyst, civil, development"
devops engineer iii,"site reliability, development operations, configuration management, continuous integration, linux, java, python, shell, ruby, go"
lead net programmer analyst,"c#, asp.net, sql server, javascript, jquery, ajax, tdd, html5, web services, wcf, lead experience"
ofsaa consultants,"technical, functional, pl, sql databases, enterprise environment, sdlc, corporate treasury processes, oracles ofsaa 8."
business analyst,contract management
c# azure developer,"c#, .net, azure, sql server"
net developer,"c#, winforms, web services"
business analyst,"gap analysis, documentation exp."
customer service representative,analytical
automated qa,"sql scripts, test plans, vbscript, test automation, uft"
desktop engineer,"adobe, customer service, development, exchange, lotus, lotus notes, management, ms office, outlook, pl1, routers, siebel, supervision, vpn, wireless"
it engineer,"vmware virtualization technologies, storage san"
hr administrator,"recruiting coordinator, benefits administration, immigration activities"
performance engineer,".net, analysis, application servers, automated, database, development, j2ee, java, linux, metrics, networks, sql, unix, web servers, windows"
sql server developer,ssis
python test engineer,"python, c, embedded , test automation"
front end developer,"css3, javascript , ajax"
ecommerce solutions architect,"cto, development, ecommerce, http, j2ee, micro"
technical writer,"networking, documentation, technical documents"
yantra developer,"yantra, java, pure java, web logic , ocp, ibm sterling commerce "
data scientist,r
business analyst,"agile, scrum, conducting analysis, gathering requirements, documenting, agile project lifecycle , scrum methodology, api , services architecture soa, microservices"
qnxt system analyst,"payments, sql server, healthcare domain"
 desktop support,desk top support
angular js developer,"ajax, analysis, angularjs, ansi, application servers, architecture, b2b, css, development, edi, html, java, javascript, jdbc, jquery, management, middleware, oracle, pl1, project management, sql"
gtm  aws architect,"architecture, development, http, system architecture"
desktop support technician,"diagnose , repair hardware , software problems"
release engineer,"analysis, css, database, database administration, db2, development, git, html, ibm, java, jenkins, linux, management, oracle, pl1, qa, release, sales, security, testing, unix, websphere"
applications architect,"services development, s, ms, dynamics, hybrid app, phonegap, cordova, java, html 5, etc"
database administrator,"dataguard, dba, dbms design, linux, oracle goldengate, oracle rac, oracle upgrade , backup , recovery, pl, sql , rman"
talend developer,"business intelligence, database, data warehouse, development, sql, sql server"
oracle applications developer,"admissions, student records, registration, financial aid, tuition, ar, portal faculty"
lead security analyst,"cissp, governance, risk, compliance platform grc, hipaa, hitech, jcaho, iso 27001, pci dss, access control systems, ids, ips"
jr it engineer,"vmware virtualization technologies, firewalls, ip addressing"
sharepoint developer,"sharepoint, sharepoint 2007, infopath, sql server"
 bi and reporting solutions,"bi , director, big data analytics, data science, ad tech"
c++ developer,"c++, multi, bs computer science"
healthcare architect ,"healthcare operations strategy, medicare, medicaid, claims"
subject matter expert,"sme, network management, computer science, information systems, software engineering, computer forensics, security, etc."
performance and scalability tester,"testing methodologies, functional "
performance engineer,".net, analysis, application servers, automated, database, development, j2ee, java, linux, metrics, networks, sql, unix, web servers, windows"
global salesforce program manager,"developer, development, management, metrics, pmp, project, salesforce"
