"Job.Title","Job.Description","Size","Sector","Skills"
"Quantitative Researcher (Internship)"," intern will work alongside highly talented innovative colleagues interns given responsibilities order excel showcase talents day one working environment challenging fast paced highly rewarding projects tied directly current business needs customized intern successful candidates quantitatively minded keen research driven create impactful solutions real problems requirements current undergraduate reputable university mathematics statistics physics quantitative finance financial engineering computer science engineering quantitative majors encouraged apply exposure statistical mathematical programming languages sas matlab r etc strong academic quantitative problem solving analytical skills knowledge optimization theory econometrics statistics probability numerical methods fast learner willing able learn additional new skills programming fields quickly past participation science olympiad quantitative field plus ","Small","Data Analysis","excel, engineering, computer, sas, analytical, computer science, research, r, programming, matlab, finance, V349, statistics, physics, etc., financial, optimization, etc, real, business, requirements, mathematics, solutions"
"Data Scientist"," data scientist youâ ll part team working cutting edge credit scoring algorithms will work side side analysts data engineers take full ownership work â initial idea generation phase implementation final product ideal candidate result focused innovative solid quantitative background good business understanding role description work multi disciplined team youâ ll take full ownership turning discoveries ideas machine learning modelsimplementation machine learning modelsresearch development improve credit scoring models using vast amount dataactively contribute taking data science finaccel next level requirements minimum 2 years relevant work experiencemasters phd equivalent experience quantitative field computer science mathematics engineering artificial intelligence etc excellent english communication skillscapable build robust end end predictive models using latest machine learning techniques least one scripting language e g r octave one programming language e g python perl c c++ javaexposure sql relational databases bonus points optional experience working alternate data evaluate credit riskexperience building end end deep learning nlp models","Small","Data Analysis","sql, python, development, perl, c, engineering, engineers, communication, computer, computer science, algorithms, implementation, r, data, e, programming, data science, multi, artificial intelligence, V349, end, etc., scripting, build, etc, solid, nlp, relational databases, business, full, 2, next, requirements, databases, mathematics, machine learning"
"Customer Analytics Data Scientist"," looking unlimited opportunities develop succeed work challenges makes difference within flexible supportive environment can help customers achieve dreams aspirations job description opportunity will part vibrant team support customer centricity activities manulife indonesia looking experience customer centricity activities 2 3 years posses strong analytical thinking highly capable data mangement data interpretation minimum intermediate level business acumen good communication skill good presentation skill nice experience working insurance company experience worked multinational companies job will supporting customer centricity strategy trough customer segmentation clustering analysis portfolio trends analysis market sizing revenue potential new products innovations analysis attrition trends portfolio trends analysis net promotor score nps result supporting nps implementation supporting data analytics loyalty implementation provide marketing intelligent market share ensuring targeting models well received comprehend related stakeholder good understanding stakeholder needs good understanding portfolio impact ensuring analytics process line rules regulations promise will exposed career bring challenge opportunity flexibility achieve goal team consist colleagues work success together taking role impactful transformative work ready unleash potential time start career manulife john hancock manulife manulife financial corporation leading international financial services group helps people make decisions easier lives better global headquarters toronto canada operate manulife across offices canada asia europe primarily john hancock united states provide financial advice insurance wealth asset management solutions individuals groups institutions end 2019 35 000 employees 98 000 agents thousands distribution partners serving almost 30 million customers march 31 2020 1 2 trillion us 0 8 trillion assets management administration previous 12 months made 30 4 billion payments customers principal operations asia canada united states served customers 155 years trade mfc toronto new york philippine stock exchanges 945 hong kong manulife equal opportunity employer strive attract develop retain workforce diverse customers serve foster inclusive work environment embraces strength cultures individuals committed fair recruitment retention advancement administer practices programs based qualification performance without discrimination protected ground priority remove barriers provide equal access employment human resources representative will consult applicants contacted participate stage recruitment process request accommodation information received regarding accommodation needs applicants will addressed confidentially ","Large","Finance","management, .net, analysis, access, communication, performance, analytical, implementation, analytics, support, data, can, data analytics, consult, V349, operations, financial services, insurance, administration, net, end, financial, 3, recruitment, strategy, business, develop, distribution, 2, 8, 1, 4, human resources, impact, nice, solutions, asset management, payments, based, business acumen, presentation"
"Data Analyst and Researcher","job description create maintain metrics reports dashboards marketing sales activities effectiveness business impact propose strategy logical experimentation opportunities based strong business urgency scale work closely product managers business development engineering get things done requirements naturally curious users people behaviour understanding order build great product great platform comfortable tackling large complex problems small focused ones terms attitude personality drive minimum qualifications +2 years experience similar assignment experienced growth tools mixpanel adwords remarketing analytics etc graduated reputable university team will review application will touch application shortlisted next stage hear us 30 days will keep resume file case relevant opportunity opens wish best great day","Medium Small","Data Analysis","development, application, engineering, sales, metrics, analytics, V349, case, etc., build, etc, strategy, business, reports, 2, next, requirements, impact, tools, based"
"Data Engineer - QuantumBlack","qualifications degree educated computer science engineering mathematics equivalent experience previous commercial experience data driven role ability write clean maintainable robust code python scala java similar languages knowledge software engineering concepts best practices familiarity latest oss cloud container query languages database technologies confirmed experience building data pipelines production ability work across structured semi structured unstructured data experience preparing data analytics following data science workflow commercial client facing senior stakeholder management experience ll work will part global data engineering community will work cross functional agile project teams alongside project managers data scientists data engineers machine learning engineers industry experts will work hands hands clients data owners users c level executives highly collaborative individual enjoy solving problems focus adding business value sense ownership enjoy hands technical work values resonate ll youâ ll will partner clients data owners users c level executives understand needs build impactful analytics solutions will design build data pipelines support data science projects following software engineering best practices will use state art technologies acquire ingest transform big datasets will map data fields hypotheses curate wrangle prepare data use advanced analytics models will create manage data environments cloud premise will ensure information security standards maintained time will contribute cross functional problem solving sessions team deliver presentations colleagues client will flexible travel clientsâ offices deliver presentations gather information share knowledge will also opportunity contribute r d projects internal asset development tech stack advocate using right tech right task often leverage following technologies python pyspark sql airflow databricks oss called kedro container technologies docker kubernetes cloud solutions aws gcp azure youâ ll benefit real world impact â project ever work top tier clients across multiple sectors providing unique learning development opportunities internationally fusing tech leadership â work latest technologies methodologies offer first class learning programmes levels multidisciplinary teamwork teams include data scientists engineers project managers ux visual designers work collaboratively enhance performance innovative work culture â creativity insight passion come balanced cultivate modern work environment emphasis wellness insightful talks training sessions striving diversity â colleagues 40 nationalities recognise benefits working people walks life continuous development progression â offer extensive choice training sessions ranging workshops international conference tailored needs well personal mentorship system multiple career paths geographic locations evolve within firm global community â ll learn colleagues around world connecting internally externally various hosted meet ups visit careers siteto watch video read interview processes benefits ","Large","Business Services","sql, java, security, python, management, development, software, agile, database, aws, system, cloud, c, engineering, ux, azure, engineers, project, computer, scala, performance, computer science, design, information security, leadership, video, kubernetes, analytics, r, support, data, data science, best practices, data analytics, degree, V349, ups, functional, gcp, production, technical, workflow, cross, client, build, creativity, mentorship, real, stack, business, hands, pyspark, databricks, focus, mathematics, impact, presentations, solutions, machine learning, software engineering, training"
"Senior Data Scientist â€“"," client award winning leading predictive analytics firm focus data analytics ai solutions innovative digital transformation looking senior data scientists join growing team jakarta lead data scientist will lead complex data analysis projects using standard modelling data transformation approaches comfortable working large data sets residing different data stores disparate formats strong hands implementation well potential move fast onto high growth career trajectory key responsibilities will include â collecting business requirements designing provided solution given problem â leading ds team delivering implementing data science solutions clientâ s location â present results stakeholders get crs feedback â collaborating pmo internal teams â supporting pre sales activities drafting projects poc s creating reusable documentations presentations code libraries led projects â mentoring mid senior junior data scientists â participating internal education research tasks succeed role 5+ years industry experience strong knowledge data mining data science probability theory statistics data science algorithms application customer retention campaign management etc excellent communication data visualization skills must need good problem solving skills knowledge dwh querying languages like sql hive teradata mysql etc spark pyspark experience etl designing addition ability write programs programming language e g r python able undertake travel required 50 within region interested role like discuss similar roles interested please feel free reach mpagtakhan welovesalt com confidential discussion salt search pte ltd â ea 05c4494 cei r1438084 licence 07c3147 salt acting employment agency relation vacancy job information job reference jo 2008 193502 salary negotiable salary per annum job duration job start date asap job industries technology job locations jakarta job types permanent job skills data science probability theory r python sql statistics","Medium Small","Business Services","sql, python, management, analysis, mysql, application, etl, spark, data analysis, communication, business requirements, sales, hive, algorithms, implementation, analytics, research, teradata, r, data, e, programming, data science, data analytics, libraries, com, V349, statistics, data visualization, lead, pmo, etc., education, client, etc, digital, visualization, business, transformation, hands, pyspark, requirements, s, focus, technology, 5, ai, presentations, solutions, data mining, high"
"Data Scientist","solid critical thinking analytical skills work well numbers complex data exposure working experience big data platform e r language hadoop etc inclusive machine learning experimental design optimization proven expertise hands development propensity models market using logistic regression multi variate regression proficient using econometric techniques statistical modeling experience varied statistical methods structured data clustering decision trees etc modeling experience preferably sas hue r phyton strong knowledge experience analytic tools e sas sql experience handling analyzing big amount data better information insights proficiency english business language proficiency microsoft office applications e excel powerpoint good communication skills e presentation influencing skills strong ability build partnerships across functional teams collaboration ability lead highly productive team strive excellence applicants must willing work alam sutera","Large","Finance","sql, development, hadoop, excel, applications, big data, powerpoint, communication, sas, analytical, design, r, data, e, multi, microsoft office, microsoft, V349, functional, lead, collaboration, etc., optimization, build, etc, solid, business, hands, modeling, regression, machine learning, tools, presentation"
"Senior Data Scientist - FinTech","ownership configuring algorithms develop machine learning ml system client one first publicly listed fintech companies owned multinational firm equipped latest data analytic technological platform leverage big data create unconventional data credit scoring deliver fast convenient manner aiming stay forefront financial inclusion agenda year year job description gather manage scrub data collected various ad analytic platforms used training test data develop ml system collaborate data engineer business unit leads determine system technical functional specification process cleanse verify integrity data used analysis ad hoc analysis presenting results clear manner enhance data infra analyze large complex datasets actionable insights use data solve complex problems pivotal business successful applicant excellent understanding machine learning techniques algorithms k nn naive bayes svm decision forests etc proficiency using query languages sql hive pig experience nosql databases mongodb cassandra hbase good applied statistics skills distributions statistical testing regression etc data oriented personality passion big data solid analytical problem solving skills create data driven insights preferably bachelor s degree mathematics computer science statistics engineering related major knows programming language e g r java python plus point experience google cloud platform pipeline experience data visualisation tools klipfolio ggplot etc past participation kaggle platform data s offer competitive benefits","Medium Small","Business Services","sql, java, python, analysis, system, cloud, engineering, test, nosql, big data, computer, mongodb, analytical, computer science, hive, algorithms, testing, cassandra, r, data, e, programming, hbase, engineer, specification, degree, pig, V349, statistics, functional, technical, etc., financial, ad, client, google cloud, etc, solid, business, develop, s, databases, mathematics, ml, regression, machine learning, tools, training"
"Data Scientist","understand business problems recommend solutions designs experiments test hypotheses build models conducts advanced data analysis develops design algorithm applies statistical predictive modeling techniques build maintain improve decision systems presents depicts rationale findings solutions easy tounderstand terms business","Large","Finance","systems, analysis, test, data analysis, design, data, algorithm, V349, build, business, modeling, solutions"
"Data Analyst","general job description become sme subject matter expert terms data analytics within business unit cluster understand analyze transactional order related behavioral event tracking client activity demographic data explore various datasets generate insights conclusions recommendations produce rich insightful meaningful beautiful dashboards monitoring reporting automates insight generation collaborate synergize across data functions data engineering business intelligent data tracker data scientist teams strategic partner product feature functionality business campaign initiatives also technology implementation specific technical requirments produce data visualization story tell data required tools perform work solid excel proficiency sql knowledge develop understanding data wrangling data manipulation r python basic statistics modelling utilization provide data insights demand proactively order assist operations general requirments bachelor s degree 1+ years data analytics experience plus","Medium Large","Information Technology","sql, python, excel, engineering, implementation, analytics, r, data, basic, data analytics, degree, V349, statistics, data visualization, operations, technical, client, reporting, solid, visualization, business, develop, s, monitoring, technology, 1, data manipulation, tools"
"Data Scientist"," looking data scientist will help us discover information hidden vast amounts data help us make smarter decisions deliver even better products primary focus will applying data mining techniques statistical analysis building high quality prediction systems integrated products masters phd relevant field statistics computer science applied math minimum 2+ years experience data sciencedevelopment experience python r java expertise one must preferably pythongood applied statistics skills distributions statistical testing regression etc ml data mining using state art methodscapable writing sql queries good knowledge using joins etc knowledge data warehousing concepts desirable mandatoryhands experience visualization toolsexperience big data tools added build algorithms derive insights large data setsdoing ad hoc analysis presenting results clear mannerextending company s data third party sources information neededinform advice management possible threats opportunitiesshould coordinate development team integrate data based solutionsshould able develop scalable production ready algorithmsregularly defining refining metrics per changing business requirementscreating automated anomaly detection systems constant tracking ","Medium Small","Data Analysis","sql, java, python, management, development, systems, analysis, quality, big data, computer, automated, computer science, algorithms, testing, metrics, r, data, V349, statistics, sql queries, production, etc., ad, build, etc, visualization, business, statistical analysis, develop, 2, s, focus, ml, regression, data mining, tools, based, high"
