"Job.Title","Job.Description","Size","Sector","Skills"
"Senior Data Scientist","founded 2010 lynx analytics predictive analytics company team world class quantitative marketing scientists industry experienced data scientists openly welcome ideas innovation believe succeeding team whilst great time joining us ll work collaborative group diverse talented individuals looking senior data scientists work lead complex data analysis projects using standard modelling data transformation approaches well lynx s proprietary graph analysis system comfortable working large data sets residing different data stores disparate formats strong hands implementation well potential move fast onto high growth career trajectory leadership experience charisma huge advantage key responsibilities will include collecting business tequirements designing provided solution given problem leading ds team delivering implementing data science solutions client s location responsible quality deliverables present results stakeholders get crs feedback collaborating pmo internal teams supporting pre sales activities drafting projects poc s create reusable documentations presentations code libraries led projects mentoring mid senior junior data scientists participating internal education research tasks succeed role 5+ years industry experience preferably finance telecommunication retail fields strong knowledge data mining data science probability theory statistics data science algorithms application customer retention campaign management etc excellent communication data visualization skills must need good problem solving skills knowledge dwh querying languages like sql hive teradata mysql etc spark pyspark experience etl designing addition ability write programs programming language e g r python able undertake travel required 50 within region ","Small","Information Technology","sql, python, management, analysis, mysql, system, application, etl, quality, spark, data analysis, communication, sales, hive, algorithms, leadership, implementation, analytics, research, teradata, r, data, e, programming, data science, finance, libraries, V349, statistics, data visualization, lead, pmo, retail, etc., education, client, etc, visualization, business, transformation, hands, pyspark, innovation, s, 5, presentations, solutions, data mining, high"
"Business Intelligence Analyst","position job scope including limited data wrangling extracting local file database third parties creating automated ad hoc business performance report consumable way dashboard presentation document etc support business user solve business question problem data perspective perform ad hoc deep dive data analysis support decision making process qualification requirements bachelorâ s degree major preferably analytical field e g engineerings mathematics statistics minimum 3 years experience data analysis related field capability writing advanced sql queries experience working analytical bi tools like tableau power bi metabase etc strong written verbal communication skills basic knowledge statistical analysis capability use r python will plus ability developing predictive data modelling necessary plus powered jazzhr fxhe35n9un","Small","Agriculture & Forestry","sql, python, database, analysis, data analysis, communication, performance, automated, tableau, analytical, bi, r, support, data, e, basic, degree, V349, statistics, sql queries, power bi, dashboard, etc., 3, ad, etc, bi tools, business, statistical analysis, requirements, s, mathematics, tools, presentation, report"
"Data Engineer / Data Integration","job ref ag0002257 required experience 5 years type contract start 5 may 2020 duration 5 months industry sector consulting location jakarta raya rate negotiable expenses inclusive rate contact sindy permata atreusg com sindy best opportunity data engineer consultant jakarta indonesia requirement looking data enginer data integration consultant minimum experience 5 years data engineer data integration start date requested 05 may 2020 end date requested 21 sep 2020 standard time 5 months expenses n travel may required travel required primary work location jakarta raya line business gbs â application innovation consulting immediately start project please share project friends colleagues available suitable project ","Small","Data Analysis","application, project, integration, data, engineer, com, V349, data integration, consulting, consultant, end, business, innovation, 5"
"Data Analyst","tanggung jawab s1 degree math finance accounting technical major preferred loves play around data pattern strong analytical background data analytics pattern recognition knowledge data structures excellent communication skills critical thinking attention details knowing sql language power bi tableau metabase statistical programs big plus persyaratan create reports track analyze business product performance perform cross analysis reports various division get business insight perform market research gain external insight create data mapping modeling cleansing process cara melamar setiap lamaran yang masuk akan di review oleh team human capital kami secara teliti dan hanya yang memenuhi kriteria akan dipanggil untuk wawancara harap perhatikan catatan dibawah ini surat lamaran ditulis dalam bahasa inggris dan dikirimkan dalam format ms word atau pdf dilengkapi dengan curriculum vitae dan foto terbaru lamaran dikirimkan lewat email ke career biznetnetworks com dengan posisi yang diminati sebagai judul surat kalau lamaran anda tidak memenuhi syarat diatas anda tidak akan dipanggil untuk wawancara ","Medium Small","Telecommunications","sql, analysis, communication, performance, tableau, analytical, analytics, bi, research, data, data analytics, finance, degree, com, V349, data structures, power bi, technical, cross, email, business, ms, reports, word, modeling, accounting"
"Data Analyst","responsibilities working closely data engineer maintain data quality continuously improving data make sure handle issues can possibly occur design trackers ensure weâ ll get data need tracking build data visualisation dashboard monitor key metrics data exploration give actionable insights business product improvements handle ad hoc data request product performance review improvements perform data collection learn data within product 3rd party requirements minimum 1 year experience related field passionate data ott platform familiar one languages querying data sql python spark comfortable working huge data sets numbers e g millions plays per day ability convert number insights good interpersonal communication skill knowledge etl support contribute database implementation systems plus knowledge analytics tools plus google analytics firebase etc ","Medium Small","Information Technology","sql, python, systems, database, etl, quality, spark, communication, performance, design, implementation, metrics, analytics, support, data, e, can, engineer, V349, dashboard, etc., ad, build, etc, data collection, data quality, business, requirements, 1, google analytics, tools"
"Software Engineer, Data","job responsibility develop implement machine learning pipeline infrastructure including limited etl extract transform load raw data model features building platform automate ml training testing maintenance partnering data scientists transform prototypes predictive models high performance well integrated systems qualifications 1 2 years junior role 3 5 years senior role relevant experiences software engineering data engineeringability write robust code pythonhigh degree proficiency rdbms e mysql postgresql sql platforms e s3 baseline knowledge data structures data modelling software architecture related machine learningstrong interest building scalable reliable machine learning ai related servicespast experience working cloud services platform build data pipeline monitoring scheduler storage preferably aws environment familiarity using distributed computing platform hadoop spark plus","Small","Data Analysis","sql, software, systems, architecture, aws, mysql, cloud, hadoop, etl, engineering, spark, infrastructure, performance, testing, postgresql, data, e, rdbms, storage, degree, V349, s3, data structures, 3, build, maintenance, develop, 2, reliable, monitoring, software architecture, 1, 5, ai, ml, machine learning, software engineering, high, training"
"Senior Data Scientist","â work stakeholders throughout organization identify opportunities leveraging company data drive business solutionsâ mine analyze data company databases drive optimization improvement product development marketing techniques business strategiesâ assess effectiveness accuracy new data sources data gathering techniquesâ develop custom data models algorithms apply data setsâ use predictive modeling increase optimize customer experiences revenue generation ad targeting business outcomesâ develop company b testing framework test model qualityâ coordinate different functional teams implement models monitor outcomesâ develop processes tools monitor analyze model performance data accuracyâ bachelor degree master statistics mathematics computer degree fresh graduated also can applyâ experience 5 7 years manipulating data sets building statistical models â strong problem solving skills emphasis product developmentâ experience using statistical computer languages r python slq etc manipulate data draw insights large data setsâ experience working creating data architecturesâ knowledge variety machine learning techniques clustering decision tree learning artificial neural networks etc real world advantages drawbacksâ knowledge advanced statistical techniques concepts regression properties distributions statistical tests proper usage etc experience applicationsâ excellent written verbal communication skills coordinating across teamsâ drive learn master new technologies techniquesâ knowledge experience statistical data mining techniques glm regression random forest boosting trees text mining social network analysis etcâ experience querying databases using statistical computer languages r python sql etcâ experience creating using advanced machine learning algorithms statistics regression simulation scenario analysis modeling clustering decision trees neural networks etcâ experience analyzing data 3rd party providers google analytics site catalyst coremetrics adwords crimson hexagon facebook insights etcâ knowledge big data tools distributed data computing tools map reduce hadoop hive spark gurobi mysql etcâ experience visualizing presenting data stakeholders using periscope business objects d3 ggplot etc waspada terhadap modus penipuan pada saat proses interview perusahaan tidak akan memungut biaya apapun dalam melakukan proses interview mohon segera melaporkan ke kami jika pada saat anda diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang please aware fraud company company will never collecting payment process interview please immediately report us s companies collecting payment jobseekers ","Small","Finance","sql, python, development, network, analysis, mysql, hadoop, test, big data, spark, communication, computer, networks, performance, hive, algorithms, testing, analytics, r, data, business objects, can, degree, V349, framework, statistics, functional, simulation, product development, etc., ad, optimization, etc, real, business, 7, develop, modeling, map reduce, s, databases, mathematics, 5, google analytics, regression, data mining, machine learning, tools, report"
"Data Analyst","requirements minimum bachelor degree information technology experience financial services industry preferable able work individual within team deadline strong communication skill initiative analytical thinking skills required ms excel google analytics firebase job information education level s1 job level sr officer job function information technology t job type contract job location jakarta work experience 3 year","Medium Small","Telecommunications","excel, communication, analytical, t, analytics, degree, information technology, V349, financial services, financial, 3, education, ms, requirements, ms excel, technology, google analytics"
"Data Analyst","persyaratan s1 matematika statistik dari universitas terkemuka minimal 2 tahun pengalaman sebagai data analyst di industri televisi data savvy dan memiliki semangat untuk belajar bersedia bekerja dalam waktu yang panjang bergabunglah bersama kami dengan mengirimkan resume anda melalui email ke recruit sctv co id recruitment indosiar com","Small","Data Analysis","data, com, V349, analyst, email, recruitment, 2"
"Data Analyst","support client servicing partnership sales team data extraction data analysis support clientsâ ad hoc data requests covered regular data delivery platform help internal stakeholders client service partnership sales team identify data trends useful shared clients thought leadership needs proactively produce find interesting data insights can shared clients enhance clients satisfaction brand reputation proactively investigate data quality issues conduct sense checks data kpis build sound understanding fmcg categories brands sub brands skus daily data requests can performed quickly depth knowledge understanding clientsâ brands support basic ppt charting excel tables etc proven experience data analyst market research analyst business intelligence analyst experience fmcg industry fast moving consumer goods market research plus degree mathematics statistics economics plus proficiency sql tableau excel required excellent written verbal communication skills able multi task work independently good team spirit proficiency english bahasa indonesia essential communicate local global team","Small","Data Analysis","sql, analysis, excel, business intelligence, quality, data analysis, communication, sales, tableau, leadership, research, support, data, basic, multi, can, degree, V349, analyst, statistics, etc., ad, client, build, etc, data quality, business, mathematics, delivery, economics"
"Senior Data Engineer (Python)","mclinica hiring sr data engineer python serve clients southeast asia support growth regionally globally looking highly ambitious dynamic individual drive excel mclinica people take initiative ownership rewarded significantly role act link technology data analytics team translating analytical requirements secured performant technical solutions make sure data secure transport rest build maintain scale efficient data infrastructure edw etl reporting pipelines develop maintain data platform business intelligence experimentation tools lead management data collection organize models forecast future needs automate repeatable tasks reports generation help acquire build maintain filter â cleanâ data specifically related healthcare products data various systems sources qualification +4 years experience using python python pandas numpy jupyter airflow celery etc +4 years experience using managing mysql solutions including performance tuning experience building data pipelines cloud environments gcp aws azure experience integrating 3rd party rest apis efficient manner experience combining data various sources s3 database api pub sub formats sql excel csv json parquet etc experience working ci cd experience using containers docker k8s experience using serverless infrastructure sqs pub sub lambda cloud functions etc bs mathematics statistics economics engineering related field nice apache nifi elk bigquery apache kafka can expect us significant career growth opportunities fast growing business competitive compensation package challenging diverse assignments fun casual working environment international team mclinica fast growing venture backed impact driven technology organization whose mission build connect worldâ s pharmacies improve market efficiencies health outcomes hundreds millions people across asia team 100 smart driven people operate across southeast asia today connect 150 000 pharmacy professionals 40 000 pharmacies reach 100 million patients every month network work worldsâ leading pharmaceutical companies well ngos governments access networks locations indonesia categories tech employment type full time","Medium Small","Information Technology","sql, python, management, systems, database, network, aws, mysql, api, cloud, excel, etl, engineering, rest, business intelligence, azure, apache, json, access, networks, infrastructure, performance, analytical, kafka, analytics, healthcare, ci, support, data, can, cd, engineer, data analytics, full time, V349, apis, statistics, s3, lead, gcp, technical, lambda, apache kafka, etc., build, rest apis, etc, reporting, data collection, business, full, reports, act, develop, requirements, s, mathematics, technology, 4, impact, nice, solutions, sqs, tools, bigquery, economics"
"Data Analyst","minimum bachelorâ s degree major information technology statistics mis preferred knowledgeable logistics statistics required skill s ms excel ms access tableau sql able create informative report dashboard team player eager learn organized strong problem solving skill proficient english must ","Small","Transportation & Logistics","sql, excel, access, tableau, degree, information technology, V349, statistics, dashboard, ms, s, ms excel, technology, logistics, organized, report"
"Data Engineer","mekari indonesia s 1 software service saas company mission empower businesses professionals progress effortlessly products talenta sleekr jurnal klikpajak used tens thousands business indonesia reach millions need people like entrepreneurs builders owners inside company eager grow scale join us empower businesses technology job descriptions manage whole architecture data warehouse work together business intelligence delivering values data work collaborative team projects implement robust data collection processing pipelines responsible building clean data asset high quality integrity work across departments understand data patterns contribute data modeling data mart solutions requirements qualifications bachelor degree computer science engineering mathematics related fields 2+ years experience data warehouse architecture 2+ years experience programming languages frameworks libraries python java flask numpy pandas etc excellent communication skills analytical thinking familiarity data processing frameworks distributed computing ecosystems hadoop spark etc familiarity data pipelines storages mongodb cassandra kafka postgres experience building distributed systems data extraction ingestion large data sets processing experience custom etl implementation maintenance strong foundation ai machine learning techniques plus experience ml model implementation system architecture plus will get competitive salary + daily allowance private health insurance outpatient inpatient maternity dental allowance sports activities glasses contact lenses strategic office location accessible mrt flexible working hours remote work culture notebook ownership program friendly dynamic work environment opportunity take part growing indonesia s 1 saas company team will review application will touch application shortlisted next stage hear us 30 days will keep resume file case relevant opportunity opens wish best great day","Medium Small","Data Analysis","java, python, software, systems, architecture, system, application, hadoop, etl, engineering, business intelligence, data warehouse, quality, spark, communication, computer, mongodb, analytical, computer science, implementation, kafka, foundation, cassandra, saas, data, programming, libraries, degree, V349, postgres, case, insurance, distributed systems, etc., data modeling, etc, data collection, business, maintenance, system architecture, modeling, 2, next, requirements, s, data processing, mathematics, technology, 1, ai, ml, solutions, frameworks, machine learning, flask, high"
"Data Science Consultant","job description define business issues client propose analytics subject solve extract data several data sources scratch sql queries cleanse data statistical perspective analyze data using statistical software contribute driving client growth summarize insight intelligible document share client management user collaborate parties business partners maintain good communication manage work streams priorities projects contribute company growth assigned project works well corporate activities specific qualification data extraction can understand write complex sql queries create dataset can understand er diagrams complex relationship can calculate basic statistics mean median standard deviation correlation coefficient can handle outliers null values appropriate manner b analysis can perform multiple linear regression analysis logistic regression analysis decision tree analysis can explain use cross validation analysis can understand use roc curves confusion matrix use auc gini etc evaluate accuracy predicted values can understand explain multicollinearity countermeasures c statistics can understand basic probability distributions normal distribution binomial distribution bernoulli distribution poisson distribution etc sample distribution t distribution chi square distribution f distribution etc calculate statistical quantities can understand point estimation interval estimation methods calculate estimated values can understand method hypothesis testing perform basic tests standard qualification basic business level english speaking writing basic consulting skill logical thinking documentation presentation interview problem solving capability basic knowledge ability foster good communication relation client team member ability multi task prioritize work well within fast paced project focused environment integrity curiosity strong willingness learn new things professional consultant proactive responsible smoothly running implementation project work independently minimum supervision attitude highly motivated stable working pressure stress forward thinking hard worker proactive responsible smoothly running implementation project education minimum bachelorâ s degree gpa 3 2 4 scale major preferable computer science information system overseas experiences preferable preferable qualifications background financial industry experienced working multicultural environment working studying abroad experienced working consulting company","Medium Large","Business Services","sql, management, software, analysis, system, c, project, communication, computer, computer science, documentation, implementation, t, testing, supervision, analytics, data, basic, multi, can, validation, degree, V349, statistics, consulting, sql queries, consultant, etc., financial, 3, cross, education, client, etc, business, distribution, 2, s, 4, regression, presentation"
"Head of Data Science","job description lead develop grow team 10 30 highly technical data science professionals creating world class actionable insights dashboards visualization will help set company direction hands leader can develop high performing teams solve highly dynamic complex business problems self starter driven accountable high sense ownership work team produce understanding advanced statistical techniques anomaly detection time series modeling forecasting machine learning etc pipeline automation driven approach create process actionable insight can delivered continuously scale applied expertise quantitative analysis data mining presentation data see beyond numbers understand users behave platform ability experience data storytelling explaining complex analysis technical nontechnical stakeholders partner senior leaders across company understand business goals consult data strategies produce repeatable outcomes requirements ms degree technical business management related field ph d preferred 5+ years experience leading highly technical team data driven environment 5+ years technical experience data science analytics related role proven ability succeed collaborative independent work environments business driven mindset keen interest product operations strategy strong written verbal communication","Medium Small","Data Analysis","management, analysis, automation, communication, analytics, data, data science, can, degree, consult, V349, lead, operations, technical, etc., etc, strategy, visualization, business, ms, develop, hands, modeling, 10, requirements, 5, data mining, machine learning, high, presentation"
"Lead Data Scientist","experience lead fast paced industry empowerment build new initiatives client client leading tech based startup strong vision developing new product project releases strong foundation data organisation aiming expand gathering experts different industries order develop new unique initiatives year job description partnering upper management cross division leaders order solve business technology problems using scientific approaches progressive knowledge area data science machine learning applied science leading team gather manage scrub data collected various ad analytic platforms used training test data develop ml systems use data solve complex problems pivotal business successful applicant 5+ years experience leading delivering data analytics machine learning solutions bachelor s degree analytical field mathematics statistics engineering computer science etc excellent understanding machine learning techniques algorithms applied statistic skills solid understanding cloud computing tools preferably google cloud platform experience leading team solid analytical problem solving create data driven insights data oriented personality passion big data solid skills programming language e g r java python query languages databases s offer experience lead fast paced industry sense ownership empowerment build new initiatives competitive benefits","Medium Small","Business Services","java, python, management, systems, cloud, engineering, test, big data, project, computer, analytical, computer science, algorithms, foundation, analytics, r, data, e, programming, data science, data analytics, degree, V349, statistics, lead, etc., ad, cross, scientific, client, google cloud, build, etc, solid, business, develop, s, databases, mathematics, technology, 5, ml, solutions, machine learning, tools, based, training"
"Data Analyst Data","kerja di tunaiku lowongan kerja","Small","Finance","V349"
"Sr. Data Analyst","mclinica fast growing impact driven technology company focused enabling pharmacies better serve patients manage businesses order improve public health asia team 250 smart driven people across southeast asia today connect 150 000 pharmacy professionals 40 000 pharmacies reach 100 million patients every month network work worldsâ leading pharmaceutical companies well ngos governments mclinica hiring senior data analyst indonesia looking highly ambitious dynamic individual drive excel strengthen indonesiaâ s pharmacies benefit communities serve mclinica people take initiative ownership rewarded responsibility opportunity real tangible impact career growth role support analytic stakeholder engagements involving descriptive predictive analysis perform data analysis provides platform decision making variety business issues apply expertise quantitative analysis data mining presentation data see beyond numbers guide applicable next steps automate repeatable tasks reports generation run b testing statistical analyses extract actionable insights influence support assist product decisions launches present proposals results clear manner backed data coupled actionable conclusions help acquire build maintain filter â cleanâ data specifically related healthcare products data various systems sources ad hoc analysis support business qualification least 4 years experience using python statistical analysis experience combining data various sources sql rest apis excel csv etc ability present defend complex analysis internally externally technical non technical audiences pharmaceutical experience big plus knowledge data cleansing analysis passion problem solving answering hard questions data continuous learning ability balance multiple projects simultaneously meet set deadlines comfortable fast paced startup environment bs mathematics statistics economics engineering related field advanced skills microsoft office software specifically excel powerpoint creation management reports presentations analysis can expect us significant career growth opportunities fast growing business challenging diverse assignments fun casual working environment international team locations indonesia categories data research employment type full time","Medium Small","Information Technology","sql, python, management, software, systems, network, analysis, excel, engineering, rest, data analysis, powerpoint, testing, healthcare, research, support, data, microsoft office, can, microsoft, full time, V349, analyst, apis, statistics, technical, etc., ad, build, rest apis, etc, real, business, full, reports, statistical analysis, next, s, mathematics, technology, 4, impact, presentations, data mining, economics, presentation"
"Remote AWS Big Data Engineer","scopic seeking remote aws big data engineer join team 250+ professionals across 40 countries successful applicant will work powerhouse team develop complex big data application medical industry scopic believe great technical engineers can found every corner globe talent shouldnâ t limited location employees work nearly every time zone whenever feel comfortable software benefits diversity perspectives expertise develop meaningful applications clients invested success scopic projects involve working challenging innovative applications work us will just maintaining old code wasting time applications will never see light day applications scopic engineers cornerstone clientsâ businesses clients users will rely write quality code keep mission critical applications running optimally grow skills career fast offer training opportunities keep skills sharp encourage stay date ever evolving technologies skills grow will opportunities move company work hard deliver quality results will well pay raises promotions completely merit based success hands become valuable part small dynamic international team unlike huge tech corporations like google microsoft scopic employees donâ t get lost bureaucracy sidelined boring tasks day day projects last six months one year developers opportunity try skills diverse range applications scopic programmers work independently entrusted considerable responsibility work scopic flexible working hours set schedule freedom travel work anywhere world ability work wherever comfortable home office park cafã etc reliable consistent workload flexible payment options us â salaried hourly positions available annual pay increases good performance paid training professional growth opportunities international travel opportunities required interesting challenging projects using latest technologies responsibilities advising design system architecture configuring aws emr ensure optimal performance jobs written java optimizing apache hadoop spark performance maintaining hadoop clusters troubleshooting apache spark running multi node clusters distributed data processing framework working highly sensitive private data compensation depending skills experience employees paid monthly via wire transfer full time home based position please apply online https scopicsoftware recruiterbox com jobs fk03a3m cjb hash o imrp55 apply now true scopic scopic worldâ s largest virtual company founded 2006 grown consistently delivering innovative cutting edge software marketing services clients creating empowering environment employees champion software clients users around globe 10+ years industry 1000+ projects belt weâ ve developed marketed software manufacturing media entertainment fintech healthcare food fitness gaming check development work portfolio scopicsoftware com portfolio learn career opportunities scopic scopicsoftware com careers requirements 5+ years professional devops experience significant experience apache spark streaming batch framework experience managing large scale data streaming pipelines hadoop experience system architecture design knowledge service oriented architecture data standards e g json exceptional time management skills intermediate level spoken written english bachelorâ s degree higher masterâ s degree preferred trainings","Medium Small","Information Technology","java, management, development, software, architecture, aws, system, application, hadoop, devops, engineers, applications, quality, apache, big data, spark, json, performance, design, t, healthcare, data, e, multi, can, apache spark, engineer, microsoft, node, emr, degree, com, full time, V349, framework, apache hadoop, technical, etc., troubleshooting, etc, full, https, system architecture, develop, hands, 10, reliable, requirements, s, via, data processing, 5, medical, time management, based, training"
"Head of Data Science","proven work experience machine learning automation degree statistics mathematics econometrics operation research computer science equivalent strong statistical knowledge ideally utilized knowledge industry experience solving prediction classification reinforcement problems using applied statistics machine learning experience data science scripting programming tools including limited python r sql","Small","Data Analysis","sql, python, automation, computer, computer science, research, r, data, programming, data science, degree, V349, statistics, scripting, mathematics, machine learning, tools"
"Data Engineer (Freshgraduate, Senior, Principal, Architect Position)","company description cermati financial technology fintech startup based indonesia cermati simplifies process finding applying financial product bringing everything online people can shop around financial products online can apply online without physically visit bank team hailed silicon valley tech companies google microsoft linkedin sofi well indonesian startups doku touchten graduates well known universities universitas indonesia itb stanford university washington cornell many others building company culture openness transparency drive meritocracy silicon valley companies join us cause build world class fintech company indonesia job description work different business technical teams across company establish unified definitions systems data governance key metrics build scalable backend solutions automation data processing develop predictive segmentation models understand customers behavior convert actionables will drive product marketing sales key metrics initiate drive projects completion minimal guidance qualifications following technical skills useful candidates must able understand tradeoff performance simplicity maintainability timeline constraints developing software solutions strong hands experience java python required must shipped multiple projects major hands contribution project experience big data technologies hadoop ecosystem mapreduce spark kafka experience different storage technologies oltp like postgres olap like redshift google bigquery nosql like redis hbase kafka familiarity machine learning algorithms concepts gradient descent logistic regression software libraries like pandas tensorflow etc","Small","Information Technology","java, python, software, systems, hadoop, nosql, big data, spark, automation, project, performance, sales, algorithms, kafka, metrics, data, can, hbase, storage, microsoft, libraries, redis, olap, V349, oltp, postgres, mapreduce, backend, data governance, technical, redshift, financial, build, governance, etc, business, develop, hands, data processing, technology, regression, solutions, machine learning, bigquery, based"
"Big Data Engineer","job responsibilities selecting integrating big data tools frameworks required provide requested capabilities defining data retention policies implementation including loading disparate data sets preprocessing using hive pig scope deliver various big data solutions ability design solutions independently based high level architecture manage technical communication survey vendor internal systems maintain production systems kafka hadoop cassandra elasticsearch collaborate development research teams building cloud based platform allows easy development new applications monitoring performance advising necessary infrastructure changes core required skills experience university degree computer science engineering equivalent preferred 2+ years experience big data engineer similar role proficient understanding distributed computing principles management hadoop cluster included services ability solve ongoing issues operating cluster proficiency hadoop v2 mapreduce hdfs experience building stream processing systems using solutions storm spark streaming good knowledge big data querying tools pig hive impala experience spark experience integration data multiple data sources experience nosql databases hbase cassandra mongodb knowledge various etl techniques frameworks flume experience various messaging systems kafka rabbitmq experience big data machine learning toolkits mahout sparkml h2o good understanding lambda architecture along advantages drawbacks experience cloudera mapr hortonworks","Small","Data Analysis","management, development, systems, architecture, cloud, hadoop, etl, engineering, nosql, applications, big data, spark, communication, computer, infrastructure, performance, mongodb, computer science, design, hive, implementation, kafka, integration, cassandra, research, data, hbase, engineer, degree, pig, V349, policies, elasticsearch, mapreduce, production, technical, lambda, rabbitmq, storm, hdfs, flume, 2, databases, monitoring, solutions, frameworks, machine learning, tools, based, high"
"Scientist Pasuruan, Indonesia Life Sciences"," ready bring career next level want make difference company part creating something new answer yes like hear looking scientist will responsible â conduct various research activities ensure activities line laboratory standards procedures timely manner â deal various analytical methods gathering analyzing scientific data utilizing statistical tools â perform method development validation build laboratory capabilities extend scope analysis act internal resource scientific information â identify implement opportunities streamline used analytical methods routine analysis â operate maintain high complexity criticality instruments e g gc ms gc ms ms lc ms ms icp ms etc experience required â university graduate bachelor master degree reputable universities preferably majoring chemical chemical engineering â 3 yearsâ experience scientist quality assurance equivalent experiences preferably tobacco food pharmaceutical similar industry advantage â experience validation management â proven technical skills professional field chemistry â strong knowledge high complexity criticality instruments e g gc ms gc ms ms lc ms ms icp ms â fluency english verbal written â excellent interpersonal relation skills â excellent oral written communication skills â fast learner team player â analytical thinking problem solving capabilities â willing placed pasuruan east java find new path company offers fresh perspective will never stop exploring discovering new insights take job learning another level giving every opportunity develop career reach full personal potential position will advance experience innovative technologies services processes backed competitive salary compensation package will work professional setting clients team members parts world join global market leader sampoerna one leading tobacco companies indonesia affiliate phillip morris international â pmiâ pmi leading international tobacco company seven worldâ s top 15 brands including number one cigarette brand worldwide pmi equal opportunity employer information see www pmi com sampoerna subsidiaries employed approximately 29 600 individuals diversity inclusion equal opportunity employer value diversity company discriminate basis race religion color gender sexual orientation age marital status challenge waiting apply today ","Large","Manufacturing","java, management, development, analysis, engineering, quality, communication, analytical, quality assurance, research, data, e, validation, degree, com, V349, technical, laboratory, etc., 3, scientific, build, etc, pmi, full, ms, act, develop, procedures, next, s, tools, high"
"Data Analyst","â mengumpulkan dan menganalisa data â melakukan identifikasi terhadap korelasi dan pola interpretasi yang terkandung di dalam data data â memahami asal usul data dan kemungkinan terdistorsinya data data tersebut dengan teknologi khusus â lulusan s1 ilmu komputer matematika pemasaran keuangan statistik dan ekonomi â menguasai microsoft excel dengan mahir â mengerti salah satu bahasa pemrograman optional â mampu membaca dan memahami data statistik â mampu berkomunikasi dan presentasi dengan baik â mampu menilai dan mengembangkan bisnis â diutamakan yang sudah berpengalaman di bidangnya waspada terhadap modus penipuan pada saat proses interview perusahaan tidak akan memungut biaya apapun dalam melakukan proses interview mohon segera melaporkan ke kami jika pada saat anda diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang please aware fraud company company will never collecting payment process interview please immediately report us s companies collecting payment jobseekers ","Small","Data Analysis","excel, data, microsoft excel, microsoft, V349, s, report"
"Data Analyst","collect manipulate analyze data make kpi report provide actionable insight using statistical techniques identify interpret trends patterns data working production team giving recommendation insight impact strategic business direction conduct design experiment doe user experience monetization required qualifications bachelor degree quantitative analysis statistics mathematic computer science strong statistical skills analysis experience working data database mysql postgresql etc experience r rstudio tableau ability communicate quantitative analysis clear precise actionable manner strong interpersonal communications skills including ability communicate technical statistical concepts non technical audiences ","Small","Data Analysis","database, analysis, mysql, computer, tableau, computer science, design, postgresql, r, data, degree, V349, statistics, production, technical, user experience, etc., etc, business, impact, kpi, report"
"Data Analyst / Business Intelligence","work closely key leaders lean team fast growing startup environment client client leading fast growing tech startup backed sequoia b2b b2c business model fast growing automotive industry popular trending upwards matured gk plug play accelator program established 2018 yet become widely known accepted market job description ownership multiple work streams related business intelligence data analysis projects data analysis tools python r sql vba excel perform detailed data analysis across multiple data sources meet management requirements identify patterns trends data sets define new data collection analysis processes partnering tech business team data driven decision making strategy successful applicant 2 3 years experience data analysis business intelligence data engineer roles solid technical skills python sql vba excel google sheets tableau etc proven skills storytelling numbers business detail oriented data driven good interpersonal communication skills logical thinking strong problem solving skills background fast growing industries tech startup e commerce automotive plus s offer work closely seasoned key leaders lean team fast growing startup environment flexible hours competitive benefit","Medium Small","Business Services","sql, python, management, analysis, excel, business intelligence, data analysis, communication, tableau, automotive, r, data, e, commerce, engineer, V349, vba, technical, b2b, etc., 3, client, etc, solid, strategy, data collection, business, 2, requirements, s, tools, detail"
"Data Analyst","passionate data science statistic tools bachelor degree information technology stastitics mathematics strong analytical planning skills good communication presentation skills excellent problem solving skills ","Medium Large","Data Analysis","communication, analytical, data, data science, degree, information technology, V349, mathematics, technology, tools, presentation"
"Lead Data Engineer","learn seasoned successful founders solve real business problems drive impact client client fastest growing sme focused startup indonesia solving real problems financial management smes millions business owners technology revolution indonesia built seasoned entrepreneurs founders backed top venture capital firms prominent investors aiming deliver results embracing new challenges every day job description design execution new datawarehouse systems including setting process data flows automation various sources build maintain etl pipeline executing advanced sql queries data requests debug monitor bi platforms e tableu work collaboratively product team development new features releases enormous sense ownership handling data within growing bi team drives business decisions product development prepare machine learning capabilities successful applicant 4+ years experience leading delivering dwh data engineering solutions experienced diverse set data technologies strong sql etl skills must experienced setting managing cloud services least one major cloud solutions providers gcp preferred aws gcp azure alicloud solid experience database designing preferably postgresql bigquery experience tableu machine learning practices plus excellent written verbal communication able switch technical plain language discussing work analytical innovative entrepreneurial thinker able work teams plan schedule work cooperation tech product managers fast paced agile development environment plus point experience leading team managing people s offer learn seasoned successful founders solve real problems drive impact millions business owners competitive package flexible leave policy","Medium Small","Business Services","sql, management, development, systems, agile, database, aws, cloud, etl, engineering, azure, automation, communication, analytical, design, postgresql, bi, data, e, V349, sql queries, gcp, technical, switch, product development, financial, client, build, real, solid, business, agile development, s, technology, 4, datawarehouse, impact, solutions, machine learning, bigquery, debug"
